variant,seed,generation,best_so_far,mean_fitness,mean_size
mutate_parent,1,10,17.316227766016837,19.913266295664886,21.0
mutate_child,1,10,17.316227766016837,19.913266295664886,21.0
mutate_child,0,10,17.96619037896906,19.975328967363758,21.0
mutate_parent,0,10,17.96619037896906,19.975328967363758,21.0
mutate_child,2,10,18.013552872566002,19.80050858373726,21.0
mutate_parent,2,10,18.013552872566002,19.80050858373726,21.0
random_search,1,10,17.316227766016837,19.913266295664886,21.0
random_search,0,10,17.96619037896906,19.975328967363758,21.0
random_search,2,10,18.013552872566002,19.80050858373726,21.0
